時間,位置,速度
0.07800000000000006,0.1463199918427405,-3.4330398704975535
0.07900000000000006,0.1428840255724061,-3.4359662703344083
0.08000000000000006,0.13944520162156024,-3.4388239508458565
0.08100000000000006,0.13600358876668195,-3.441612854878288
0.08200000000000006,0.13255925584002834,-3.4443329266536216
0.08300000000000006,0.12911227172825793,-3.4469841117704223
0.08400000000000006,0.12566270537105295,-3.4495663572049873
0.08500000000000006,0.12221062575974054,-3.452079611312408
0.08600000000000006,0.11875610193591293,-3.454523823827603
0.08700000000000006,0.11529920299004662,-3.4568989458663215
0.08800000000000006,0.11183999806012049,-3.4592049299261225
0.08900000000000007,0.10837855633023316,-3.461441729887325
0.09000000000000007,0.10491494702921923,-3.4636093010139297
0.09100000000000007,0.10144923942926472,-3.465707599954514
0.09200000000000007,0.09798150284452162,-3.4677365847430996
0.09300000000000007,0.09451180662972163,-3.46969621479999
0.09400000000000007,0.09104022017878904,-3.4715864509325844
0.09500000000000007,0.08756681292345288,-3.47340725533616
0.09600000000000007,0.08409165433185825,-3.4751585915946293
0.09700000000000007,0.08061481390717698,-3.4768404246812663
0.09800000000000007,0.07713636118621757,-3.47845272095941
0.09900000000000007,0.07365636573803444,-3.4799954481831343
0.10000000000000007,0.07017489716253654,-3.481468575497895
0.10100000000000008,0.0666920250890954,-3.482872073441146
0.10200000000000008,0.06320781917515247,-3.484205913942928
0.10300000000000008,0.059722349104826045,-3.4854700703264307
0.10400000000000008,0.056235684587517515,-3.4866645173085273
0.10500000000000008,0.052747895356517235,-3.487789231000278
0.10600000000000008,0.04925905116760983,-3.488844188907408
0.10700000000000008,0.04576922179767907,-3.4898293699307605
0.10800000000000008,0.042278477043312356,-3.4907447543667143
0.10900000000000008,0.03878688671940478,-3.4915903239075807
0.11000000000000008,0.03529452065776281,-3.492366061641969
0.11100000000000008,0.03180144870570769,-3.493071952055124
0.11200000000000009,0.02830774072467845,-3.4937079810292384
0.11300000000000009,0.02481346658883472,-3.494274135843732
0.11400000000000009,0.02131869618365921,-3.4947704051755086
0.11500000000000009,0.017823499404560027,-3.495196779099182
0.11600000000000009,0.014327946155472754,-3.495553249087273
0.11700000000000009,0.01083210634746237,-3.4958398080103827
0.11800000000000009,0.007336049897325038,-3.496056450137332
0.11900000000000009,0.003839846726189759,-3.496203171135279
0.12000000000000009,0.0003435667581199566,-3.4962799680698025
0.1210000000000001,-0.003152720081285008,-3.4962868394049647
0.1220000000000001,-0.0066489438662883475,-3.496223785003339
0.1230000000000001,-0.010145034672414361,-3.496090806126013
0.1240000000000001,-0.013640922577846926,-3.495887905432565
0.12500000000000008,-0.017136537664827936,-3.495615086981008
0.12600000000000008,-0.020631810021055647,-3.4952723562277117
0.12700000000000009,-0.024126669741082938,-3.4948597200272906
